rn,Husband,Not-in-family,Other-relative,Own-child,Unmarried,Wife
Cambodia,0.000298388701014522,0.000132617200450898,0.0000994629003381739,0,0.0000331543001127246,0.0000331543001127246
Canada,0.00155825210529806,0.00106093760360719,0.0000331543001127246,0.000331543001127246,0.000298388701014522,0.000265234400901797
China,0.00119355480405809,0.000530468801803594,0.000132617200450898,0.000132617200450898,0.0000663086002254492,0.000198925800676348
Columbia,0.000497314501690869,0.000629931702141768,0.0000994629003381739,0.000198925800676348,0.000397851601352695,0.0000331543001127246
Cuba,0.00132617200450898,0.000596777402029043,0.000165771500563623,0.000397851601352695,0.000397851601352695,0.000165771500563623
Dominican-Republic,0.000397851601352695,0.000629931702141768,0.000198925800676348,0.00043100590146542,0.000364697301239971,0.000198925800676348
Ecuador,0.000331543001127246,0.000198925800676348,0.000232080100789072,0.0000331543001127246,0.0000663086002254492,0.0000331543001127246
El-Salvador,0.000928320403156289,0.000629931702141768,0.000530468801803594,0.000629931702141768,0.00043100590146542,0.000165771500563623
England,0.00106093760360719,0.00106093760360719,0.0000331543001127246,0.000232080100789072,0.000265234400901797,0.000198925800676348
France,0.000364697301239971,0.000364697301239971,0,0.0000331543001127246,0.0000994629003381739,0.0000331543001127246
Germany,0.00179033220608713,0.00112724620383264,0.0000663086002254492,0.000265234400901797,0.000762548902592666,0.000232080100789072
Greece,0.000596777402029043,0.000132617200450898,0.0000331543001127246,0.0000994629003381739,0.0000331543001127246,0.0000663086002254492
Guatemala,0.000464160201578145,0.000663086002254492,0.00043100590146542,0.000165771500563623,0.000331543001127246,0.0000331543001127246
Haiti,0.000298388701014522,0.000165771500563623,0.000331543001127246,0.000198925800676348,0.000265234400901797,0.000132617200450898
Holand-Netherlands,0,0,0.0000331543001127246,0,0,0
Honduras,0,0.000132617200450898,0.0000331543001127246,0.0000331543001127246,0.000165771500563623,0.0000331543001127246
Hong,0.000298388701014522,0.000132617200450898,0.0000994629003381739,0,0,0.0000994629003381739
Hungary,0.000165771500563623,0.000198925800676348,0.0000331543001127246,0,0,0.0000331543001127246
India,0.00192294940653803,0.000563623101916319,0.000198925800676348,0.000331543001127246,0.000232080100789072,0.0000663086002254492
Iran,0.000696240302367217,0.000298388701014522,0.0000331543001127246,0.000132617200450898,0.000132617200450898,0.0000994629003381739
Ireland,0.000232080100789072,0.00043100590146542,0.0000331543001127246,0.0000331543001127246,0.0000663086002254492,0
Italy,0.00135932630462171,0.000464160201578145,0.0000663086002254492,0.0000994629003381739,0.0000994629003381739,0.000165771500563623
Jamaica,0.000696240302367217,0.00086201180293084,0.000298388701014522,0.000298388701014522,0.000397851601352695,0.0000994629003381739
Japan,0.000895166103043565,0.000596777402029043,0.0000331543001127246,0.000165771500563623,0.000165771500563623,0.0000994629003381739
Laos,0.000232080100789072,0.000132617200450898,0,0.0000663086002254492,0.0000331543001127246,0.0000994629003381739
Mexico,0.00845434652874478,0.00394536171341423,0.00291757840991977,0.0017571779059744,0.00258603540879252,0.000563623101916319
Nicaragua,0.000364697301239971,0.0000994629003381739,0.000198925800676348,0.000165771500563623,0.000198925800676348,0.0000663086002254492
Outlying-US(Guam-USVI-etc),0.0000663086002254492,0.000232080100789072,0,0.0000331543001127246,0.0000994629003381739,0.0000331543001127246
Peru,0.000265234400901797,0.0000994629003381739,0.0000663086002254492,0.000265234400901797,0.000232080100789072,0.0000663086002254492
Philippines,0.00245341820834162,0.00102778330349446,0.000663086002254492,0.000961474703269014,0.000596777402029043,0.000530468801803594
Poland,0.000828857502818116,0.000497314501690869,0.0000994629003381739,0.000165771500563623,0.000165771500563623,0.0000994629003381739
Portugal,0.000497314501690869,0.000198925800676348,0,0.000132617200450898,0.000165771500563623,0.000132617200450898
Puerto-Rico,0.00102778330349446,0.000696240302367217,0.000232080100789072,0.000397851601352695,0.000928320403156289,0.000331543001127246
Scotland,0.0000994629003381739,0.0000994629003381739,0,0.0000331543001127246,0.0000663086002254492,0.0000663086002254492
South,0.000928320403156289,0.000232080100789072,0.000232080100789072,0.000331543001127246,0.000364697301239971,0.000265234400901797
Taiwan,0.000762548902592666,0.000132617200450898,0.0000331543001127246,0.000232080100789072,0.0000994629003381739,0.000132617200450898
Thailand,0.000132617200450898,0.000198925800676348,0.0000331543001127246,0.0000663086002254492,0.0000663086002254492,0.0000663086002254492
Trinadad&Tobago,0.000232080100789072,0.000165771500563623,0.0000331543001127246,0,0.0000994629003381739,0.0000663086002254492
United-States,0.378456335786752,0.236390159803727,0.0213513692725947,0.138783900271865,0.0954180757244215,0.0414760294410185
Vietnam,0.000663086002254492,0.000331543001127246,0.000364697301239971,0.000364697301239971,0.000298388701014522,0.0000994629003381739
Yugoslavia,0.000364697301239971,0.0000663086002254492,0,0.0000663086002254492,0,0.0000331543001127246
