variate,N,V1,V2,V3,V4,V5,V6,V7,Expl1,Expl2,Expl3,Expl4,Expl5,Expl6,Expl7
RI,5,1,2,3,4,5,,,x<=1.515,1.515<x<=1.52,1.52<x<=1.525,1.525<x<=1.53,1.53<x,,
Na,5,1,2,3,4,5,,,x<=12,12<x<=13.4,13.4<x<=14.8,14.8<x<=16.2,16.2<x,,
Mg,5,1,2,3,4,5,,,x<=0.9,0.9<x<=1.8,1.8<x<=2.7,2.7<x<=3.6,3.6<x,,
Al,5,1,2,3,4,5,,,x<=0.8,0.8<x<=1.5,1.5<x<=2.2,2.2<x<=2.9,2.9<x,,
Si,5,1,2,3,4,5,,,x<=70.9,70.9<x<=72.1,72.1<x<=73.3,73.3<x<=74.5,74.5<x,,
K,5,1,2,3,4,5,,,x<=1.2,1.2<x<=2.5,2.5<x<=3.8,3.8<x<=5.1,5.1<x,,
Ca,5,1,2,3,4,5,,,x<=7,7<x<=10,10<x<=13,13<x<=16,16<x,,
Ba,5,1,2,3,4,5,,,x<=0.6,0.6<x<=1.3,1.3<x<=2,2<x<=2.7,2.7<x,,
Fe,5,1,2,3,4,5,,,x<=0.09,0.09<x<=0.2,0.2<x<=0.31,0.31<x<=0.42,0.42<x,,
Type,7,building_windows_float_processed,building_windows_non_float_processed,containers,headlamps,tableware,vehicle_windows_float_processed,vehicle_windows_non_float_processed,building_windows_float_processed,building_windows_non_float_processed,containers,headlamps,tableware,vehicle_windows_float_processed,vehicle_windows_non_float_processed
