rn,Female,Male
Cambodia,0.0000663086002254492,0.000530468801803594
Canada,0.00112724620383264,0.0024202639082289
China,0.000596777402029043,0.00165771500563623
Columbia,0.000762548902592666,0.00109409190371991
Cuba,0.00125986340428354,0.00179033220608713
Dominican-Republic,0.00112724620383264,0.00109409190371991
Ecuador,0.000298388701014522,0.000596777402029043
El-Salvador,0.00109409190371991,0.00222133810755255
England,0.000994629003381739,0.00185664080631258
France,0.000331543001127246,0.000563623101916319
Germany,0.00179033220608713,0.00245341820834162
Greece,0.000165771500563623,0.000795703202705391
Guatemala,0.000663086002254492,0.00142563490484716
Haiti,0.000596777402029043,0.000795703202705391
Holand-Netherlands,0.0000331543001127246,0
Honduras,0.000198925800676348,0.000198925800676348
Hong,0.000165771500563623,0.000464160201578145
Hungary,0.000198925800676348,0.000232080100789072
India,0.000364697301239971,0.00295073271003249
Iran,0.000232080100789072,0.00116040050394536
Ireland,0.000232080100789072,0.000563623101916319
Italy,0.000596777402029043,0.00165771500563623
Jamaica,0.00139248060473443,0.00125986340428354
Japan,0.000596777402029043,0.00135932630462171
Laos,0.000232080100789072,0.000331543001127246
Mexico,0.00424375041442875,0.0159803726543333
Nicaragua,0.000397851601352695,0.000696240302367217
Outlying-US(Guam-USVI-etc),0.000232080100789072,0.000232080100789072
Peru,0.000464160201578145,0.000530468801803594
Philippines,0.00238710960811617,0.00384589881307606
Poland,0.000563623101916319,0.00129301770439626
Portugal,0.000397851601352695,0.000729394602479942
Puerto-Rico,0.00159140640541078,0.0020224123068762
Scotland,0.000132617200450898,0.000232080100789072
South,0.000828857502818116,0.00152509780518533
Taiwan,0.000331543001127246,0.00106093760360719
Thailand,0.000331543001127246,0.000232080100789072
Trinadad&Tobago,0.000331543001127246,0.000265234400901797
United-States,0.296134208606856,0.615741661693522
Vietnam,0.000729394602479942,0.00139248060473443
Yugoslavia,0.0000994629003381739,0.00043100590146542
