Outcome,Method,Location
success,old,onsite
failure,new,remote
failure,old,remote
failure,new,remote
failure,old,remote
failure,old,remote
success,new,onsite
success,old,remote
success,new,onsite
success,new,remote
success,old,onsite
success,old,onsite
failure,old,remote
success,new,onsite
failure,new,onsite
failure,old,onsite
failure,old,remote
failure,old,remote
success,new,onsite
success,old,remote
success,new,onsite
failure,new,remote
failure,new,remote
success,new,onsite
success,old,onsite
failure,new,onsite
